"GPS","Date","n.x","n.y","nDiff","meanLat.x","meanLat.y","meanLatDiff","sdLat.x","sdLat.y","sdLatDiff","meanLong.x","meanLong.y","meanLongDiff","sdLong.x","sdLong.y","sdLongDiff","meanDist.x","meanDist.y","meanDistDiff","sdDist.x","sdDist.y","sdDistDiff","meanCourse.x","meanCourse.y","meanCourseDiff","sdCourse.x","sdCourse.y","sdCourseDiff","meanRate.x","meanRate.y","meanRateDiff","sdRate.x","sdRate.y","sdRateDiff","meanElev.x","meanElev.y","meanElevDiff","sdElev.x","sdElev.y","sdElevDiff"
88,2018-03-15,79,71,8,32.0548316962025,32.0553726056338,-0.000540909431272496,0.00103164131555491,0.000662109798379701,0.000369531517175213,-109.348103886076,-109.349272521127,0.0011686350508171,0.00120172447658492,0.00167039640170611,-0.000468671925121181,54.4651533567468,64.8847990704225,-10.4196457136757,90.3960689282006,100.9376405499,-10.5415716216996,187.886075949367,186.253521126761,1.63255482260652,97.4246569303385,92.3993998604287,5.0252570699098,3.34177215189873,3.52780839056714,-0.18603623866841,3.76177152739806,4.02475191843276,-0.2629803910347,1823.03867929228,1881.6338028169,-58.595123524623,23.5378067209347,27.9556993609633,-4.41789264002858
88,2018-03-16,80,87,-7,32.0569900125,32.0567990344828,0.000190978017243992,0.000795122003117515,0.000878947288525351,-8.38252854078368e-05,-109.3515479,-109.351650816092,0.000102916091947236,0.000625898495430851,0.000625834206605377,6.42888254736608e-08,46.1587730304625,47.7668177931034,-1.60804476264095,56.8202333794703,95.4799087039998,-38.6596753245294,145.7,143.689655172414,2.01034482758621,102.750083926172,103.39980099221,-0.649717066037354,3.60125,2.98183867756158,0.619411322438417,8.99699659802149,4.89789457137799,4.09910202664349,1806.63437652575,1828.7816091954,-22.1472326696523,14.706715336805,7.29036523689701,7.41635009990803
88,2018-03-17,73,63,10,32.0562992054795,32.0566287777778,-0.000329572298319647,0.000828907295428133,0.000622521704361578,0.000206385591066555,-109.35023260274,-109.348574428571,-0.00165817416829839,0.00180626147624042,0.00181934172528585,-1.30802490454337e-05,49.9327585928356,47.4232398095238,2.50951878331181,72.0492699505451,65.6487329553437,6.40053699520138,165.630136986301,170.174603174603,-4.54446618830178,114.00456945634,117.689523156172,-3.68495369983191,3.53424657534247,2.92203996830605,0.612206607036414,5.43970023627942,4.03590260204317,1.40379763423625,1838.11662731452,1885.20634920635,-47.0897218918285,50.9876319824859,25.048442569677,25.9391894128089
88,2018-03-18,98,102,-4,32.0568686530612,32.0570231470588,-0.000154493997598593,0.000708793618662317,0.000710009962237438,-1.21634357512057e-06,-109.348225704082,-109.348464892157,0.000239188075241259,0.00127731919017588,0.000960343233885155,0.000316975956290726,46.8007595808571,45.4299255784314,1.37083400242577,68.2570474138891,68.9387187367688,-0.681671322879708,170.489795918367,172.313725490196,-1.82392957182873,102.566472777912,103.848135540751,-1.28166276283876,4.01224489795918,4.01305304468082,-0.000808146721635872,6.98267761399996,6.89082461369322,0.0918530003067426,1875.73809316296,1893.77450980392,-18.0364166409624,30.7202821515352,18.7172324172482,12.0030497342869
88,2018-03-19,91,85,6,32.0570753736264,32.0567351058824,0.000340267744022071,0.000899069489940107,0.000904453913426653,-5.38442348654671e-06,-109.348541087912,-109.348825211765,0.000284123852622997,0.00125562960434077,0.0010125763239207,0.000243053280420069,66.220473950011,32.2960844705882,33.9243894794228,205.36651382853,30.673108821591,174.693405006939,158.142857142857,163.235294117647,-5.09243697478993,110.401547033099,108.666226305581,1.73532072751784,3.45274725274725,2.37355561546743,1.07919163727982,6.53852413961269,2.64751515054107,3.89100898907163,1892.79357776121,1888,4.79357776120878,16.0414958367816,22.0389266007736,-5.99743076399195
88,2018-03-20,92,103,-11,32.0564828152174,32.0566854368932,-0.000202621675811088,0.001111332710781,0.000759225659057353,0.000352107051723642,-109.34907426087,-109.348111009709,-0.000963251160840173,0.00120755034813797,0.00151745476073801,-0.000309904412600044,49.4255082417826,41.8887765631068,7.53673167867581,79.1228801254487,63.8961142750086,15.2267658504401,176.54347826087,162.873786407767,13.6696918531026,103.761075197929,103.215145530562,0.545929667366991,3.81086956521739,3.47763113618252,0.333238429034875,6.3356041980405,5.97536279860607,0.360241399434424,1866.03514828913,1892.97087378641,-26.9357254972774,29.7325731395247,19.7674997232185,9.96507341630624
88,2018-03-21,103,79,24,32.0565257669903,32.0564141518987,0.000111615091554995,0.00096496478858778,0.00123015304539438,-0.000265188256806602,-109.348175854369,-109.349284,0.00110814563106487,0.00156042688608591,0.0014305589458097,0.000129867940276216,53.7340416056602,79.9674677848101,-26.2334261791499,114.964592615774,158.114052737179,-43.1494601214046,158.932038834951,174.670886075949,-15.7388472409979,104.900537591467,105.703955426439,-0.803417834971327,4.08252427184466,4.6847685479184,-0.602244276073735,5.83285870087774,6.51642729706869,-0.683568596190953,1864.60156961107,1890.35443037975,-25.7528607686788,22.0154587242199,30.1985047917699,-8.18304606755008
88,2018-03-22,60,65,-5,32.0511766333333,32.0512975230769,-0.00012088974359159,0.00182380601264302,0.00154280040741343,0.000281005605229583,-109.346708183333,-109.345927907692,-0.000780275641020012,0.00274266543305653,0.00153099681297741,0.00121166862007912,81.1436602243833,48.6624150769231,32.4812451474602,169.041973094845,63.631660727038,105.410312367808,158.45,146.892307692308,11.5576923076923,104.896789467924,103.757698972914,1.13909049500995,3.79833333333333,2.33174165655289,1.46659167678044,8.33842426415444,2.04731091518243,6.29111334897201,1877.1210286455,1902.16923076923,-25.0482021237308,43.886533415292,36.3582733151829,7.52826010010907
88,2018-03-23,83,97,-14,32.0544163975904,32.0540824123711,0.000333985219221233,0.000925190144461528,0.00114061114605786,-0.000215421001596328,-109.346790409639,-109.346742742268,-4.76673705236408e-05,0.000768902528570901,0.000665113434535488,0.000103789094035412,59.6319587203012,58.2169870618557,1.41497165844554,85.4183623102662,96.0619371446887,-10.6435748344225,146.168674698795,152.463917525773,-6.29524282697801,100.126970523785,109.214244898089,-9.08727437430399,3.84698795180723,3.80963693154187,0.0373510202653544,4.99302775706083,4.8814533344712,0.111574422589632,1856.37645896108,1897.24742268041,-40.8709637193281,18.4724554494997,12.2856885981168,6.18676685138294
88,2018-03-24,77,67,10,32.0520209090909,32.0511748208955,0.000846088195380901,0.00138048264997801,0.00146142480213135,-8.09421521533417e-05,-109.346296922078,-109.346050746269,-0.000246175809266447,0.00054662516663197,0.000602881599091644,-5.62564324596742e-05,76.2841681442467,65.1977494179104,11.0864187263363,158.532149598136,116.82257180045,41.7095777976857,185.103896103896,194.089552238806,-8.98565613490987,107.901707758739,95.4529443556358,12.4487634031027,4.54935064935065,4.14173162349816,0.407619025852491,9.09701546455041,8.78714999936645,0.309865465183961,1868.07106711623,1917.55223880597,-49.4811716897364,28.9809310499882,46.4983817190186,-17.5174506690304
