"elev","alt","x","y"
1165.07656134016,1164.949951,490831.23090177,4797178.81800612
1163.00846969924,1163.640015,490828.745415248,4797139.50794128
1159.30655668606,1165.469971,490836.118756564,4797076.30772865
1158.17992305744,1171.280029,490849.66241672,4797079.28789118
1156.21261520387,1166.77002,490871.827299676,4796982.19601583
1158.17644628862,1166.72998,490852.023446302,4796966.56401106
1161.22474721305,1144.959961,490840.904505478,4796958.13887505
1165.02326269247,1121.959961,490821.051503563,4796966.16171183
1160.02570477452,1136.369995,490834.163507619,4797009.45534338
1161.80925429149,1178.559937,490844.152136364,4797560.94052447
1160.80450512877,1152.179932,490842.971696696,4797587.26214762
1157.63998223875,1138.630005,490864.829302738,4797744.37540866
1150.1156858342,1133.429932,490928.999791676,4798081.11897836
1154.56960294589,1143.910034,490935.913534973,4798159.07036406
1154.56960294589,1160.380005,490932.749269554,4798156.96455657
1154.24645701189,1172.75,490945.129105995,4798139.95655751
1153.87475486211,1174.869995,490910.540965035,4798159.10439344
1153.12188269346,1168.51001,490900.007914043,4798162.89442036
1153.87475486211,1172.109985,490904.297956652,4798158.22434057
1153.87475486211,1182.949951,490915.487418782,4798160.31935755
1154,1199.390015,490923.505755914,4798155.20006616
1153.82205828117,1192.869995,490914.831464555,4798154.76748496
1153.87475486211,1187.23999,490908.681002513,4798162.43854365
1148.12152181742,1152.289917,490856.018183719,4798123.08494524
1149.93149852879,1155.119995,490835.01024521,4798113.78473675
1148.88329509459,1158.160034,490847.400879632,4798104.88356406
1150.05227574538,1155.609985,490850.444647017,4798077.78201526
1150.93272102602,1156.449951,490854.716401774,4798059.56321342
1150.2845123339,1139.929932,490860.869296192,4798053.66898449
1149.8863546006,1151.160034,490868.988710229,4798063.31981437
1151.4366794065,1147.449951,490854.112337722,4798032.4665985
1150.43288851571,1152.789917,490847.288089892,4798021.48137462
1149.89227875519,1147.589966,490839.148452339,4797996.94922328
1151.51537361815,1152.72998,490844.077910526,4797985.50388406
1152.73959128488,1157.619995,490841.62418242,4797969.40422393
1152.73959128488,1151.890015,490836.039282351,4797975.74192046
1153,1151.599976,490832.28337849,4797955.86815608
1153,1154.619995,490823.68416888,4797951.21549821
1153.1496599023,1153.73999,490826.091884197,4797933.33237457
1152.79633165489,1155.709961,490824.749596481,4797840.15903289
1152.33587005082,1165.609985,490824.701421833,4797804.62149562
1153,1159.150024,490807.979798195,4797788.54120841
1153.80884247695,1159.01001,490776.420989389,4797771.14850525
1156.24510733714,1136.669922,490732.437420866,4797738.22525001
1156.24510733714,1136.849976,490721.889959969,4797731.90956493
1156.94010668612,1164.559937,490723.160253806,4797712.36214463
1157.11981738939,1161.48999,490723.710835035,4797700.03428589
1157.11981738939,1154.869995,490728.08850842,4797700.02828784
1157.11981738939,1158.919922,490725.009140853,4797700.92094666
1157.11981738939,1161.809937,490726.222878738,4797699.25345874
1157.11981738939,1162.969971,490725.009140853,4797700.92094666
1157.11981738939,1154.02002,490724.361814226,4797701.81027364
1157.11844926292,1150.819946,490723.706269117,4797696.70264242
1157.11981738939,1156.719971,490723.711443824,4797700.47850502
1157.11844926292,1156.52002,490725.004575572,4797697.58930318
1157.11981738939,1160.72998,490726.223487362,4797699.69767787
1157.11981738939,1167.969971,490728.089116922,4797700.47250697
1157.11981738939,1167.73999,490729.954898148,4797701.35839136
1157.11981738939,1154.469971,490727.444680435,4797703.47187453
1157.11981738939,1157.390015,490725.012032198,4797703.03098754
1157.11981738939,1161.030029,490725.01431484,4797704.69680929
1157.11981738939,1152.329956,490723.713270192,4797701.81116242
1157.11981738939,1159.189941,490729.308635656,4797703.02510135
1156.12098613519,1168.150024,490737.329807422,4797699.68247022
1157.11981738939,1159.869995,490726.795527972,4797703.02854388
1157.11981738939,1154.319946,490725.573725791,4797698.81012821
1157.11844926292,1163.380005,490730.516594967,4797697.13753246
